Year,Incident Date,Incident Type,Track,Inv Location,Racing Type Description,Division,Weather Conditions,Horse,Trainer,Jockey Driver,Incident Description,Death or Injury
2014,12/04/2014,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),1/16 Pole,Racing,Thoroughbred, ,Rosemarie, ,JULISSA LAREDO,Rosemarie-Tr. Peter Chin-pulled up-ambulanced  off-first time-horse bled-must requalify,Steward's List
2014,12/04/2014,EQUINE DEATH,Aqueduct Racetrack (NYRA),1/8 Pole,Racing,Thoroughbred, ,Warrior's Hero, ,RUBEN SILVERA,Warrior's Hero-Tr. Mike Wilson-pulled up-ambulanced off-rider off-xrays revealed fx R carpus-euthanized,Equine Death
2009,03/28/2009,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred,Cloudy,Dr. Silver Packet,JOHN P. CAMPO JR, ,Dr. Silver Packet-Tr. John Campo-horse hurt stifle-walked off track, 
2009,04/04/2009,STEWARDS/VETS LIST,Buffalo Raceway, ,Racing,Harness, ,Fox Valley Con Man,RONALD C. BEBACK JR, ,Fox Valley Con Man-Tr. Ron Beback-lame RF ankle-given time before resuming workouts, 
2012,03/19/2012,ON-TRACK ACCIDENT,Saratoga Gaming & Raceway,Saratoga Raceway,Racing,Harness,Clear  cool,Finally Finished,HAROLD REDDICK JR, ,Finally Finished-Tr. Harold Reddick-deep abrasions both knees & LF coronet band-requalified 4/24/09, 
2009,03/29/2009,STEWARDS/VETS LIST,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred,Rain,Yankee Threads,RICHARD L. STOKLOSA, ,Yankee Threads-Tr. Richard Stoklosa-tore left suspensory-retired, 
2009,04/10/2009,EQUINE DEATH,Belmont Park (NYRA),Belmont Training Track,Training,Thoroughbred, ,Midnight Slammer,DOMINIC G. GALLUSCIO, ,Midnight Slammer-Tr. Dominick Galluscio-Euthanasia-RF cannon bone fx, 
2009,03/04/2009,ON-TRACK ACCIDENT,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred, ,Truly Devine,GARY C. CONTESSA, ,Truly Devine-Tr. Gary Contessa-fell over downed horse  minor cuts & scrapes  horse ok, 
2009,04/08/2009,STEWARDS/VETS LIST,Buffalo Raceway, ,Racing,Harness, ,Hello Yankee,JAMES P. MCNEIGHT, ,Hello Yankee-Tr. James McNeight-scratched lame-working w/ horse to correct lameness, 
2009,04/06/2009,STEWARDS/VETS LIST,Buffalo Raceway,BR,Non-Racing,Harness, ,Chomp the Bit,LAURIE M. PATISTAS, ,Chomp the Bit-Tr. Laurie Patistas-scratched 2 days prior to race - LF ankle-lame, 
2009,04/06/2009,STEWARDS/VETS LIST,Buffalo Raceway, ,Non-Racing,Harness, ,Cam Bo Informal,BOBBI JO MARTIN, ,Cam Bo Informal-Tr. Bobbi Jo Martin-scratched 2 days prior to race-LF ankle-lame, 
2009,03/04/2009,ON-TRACK ACCIDENT,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred, ,One Dream Union,BRUCE R. BROWN, ,One Dream Union-Tr. Bruce Brown-fell over downed horse-minor cuts & scrapes-horse ok, 
2009,03/04/2009,ON-TRACK ACCIDENT,Aqueduct Racetrack (NYRA),Aqueduct,Racing,Thoroughbred, ,Hot Chile Soup,ENRIQUE ARROYO, ,Hot Chile Soup-Tr. Enrique Arroyo-fell over downed horse-minor cuts & scrapes-horse ok, 
