"year","incident.date","incident.type","track","division","count"
"1",2009,2009-03-04,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"2",2009,2009-03-05,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"3",2009,2009-04-10,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"4",2009,2009-04-11,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"5",2009,2009-04-14,"EQUINE DEATH","Yonkers Raceway","Harness",1
"6",2009,2009-04-17,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"7",2009,2009-04-17,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"8",2009,2009-04-21,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"9",2009,2009-04-25,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"10",2009,2009-04-28,"EQUINE DEATH","Aqueduct Racetrack (NYRA)","Thoroughbred",1
"11",2009,2009-04-28,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"12",2009,2009-04-28,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"13",2009,2009-04-28,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"14",2009,2009-05-02,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"15",2009,2009-05-03,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"16",2009,2009-05-04,"EQUINE DEATH","Monticello Raceway & Mighty M Gaming","Harness",1
"17",2009,2009-05-07,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"18",2009,2009-05-15,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"19",2009,2009-05-15,"EQUINE DEATH","Yonkers Raceway","Harness",1
"20",2009,2009-05-20,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"21",2009,2009-05-28,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"22",2009,2009-05-30,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"23",2009,2009-05-31,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"24",2009,2009-05-31,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"25",2009,2009-06-05,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"26",2009,2009-06-09,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"27",2009,2009-06-13,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
"28",2009,2009-06-17,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"29",2009,2009-06-19,"EQUINE DEATH","Vernon Downs","Harness",1
"30",2009,2009-06-20,"EQUINE DEATH","Belmont Park (NYRA)","Thoroughbred",1
"31",2009,2009-06-21,"EQUINE DEATH","Finger Lakes Gaming & Racetrack","Thoroughbred",1
