"year","track","equine.deaths"
"1",2009,"Aqueduct Racetrack (NYRA)",17
"2",2009,"Batavia Downs",4
"3",2009,"Belmont Park (NYRA)",39
"4",2009,"Buffalo Raceway",0
"5",2009,"Finger Lakes Gaming & Racetrack",43
"6",2009,"Monticello Raceway & Mighty M Gaming",5
"7",2009,"Saratoga Gaming & Raceway",12
"8",2009,"Tioga Downs",0
"9",2009,"Vernon Downs",1
"10",2009,"Yonkers Raceway",6
"11",2010,"Aqueduct Racetrack (NYRA)",29
"12",2010,"Batavia Downs",3
"13",2010,"Belmont Park (NYRA)",65
"14",2010,"Buffalo Raceway",9
"15",2010,"Finger Lakes Gaming & Racetrack",63
"16",2010,"Monticello Raceway & Mighty M Gaming",9
"17",2010,"Saratoga Gaming & Raceway",23
"18",2010,"Tioga Downs",2
"19",2010,"Vernon Downs",1
"20",2010,"Yonkers Raceway",3
"21",2011,"Aqueduct Racetrack (NYRA)",30
"22",2011,"Batavia Downs",1
"23",2011,"Belmont Park (NYRA)",46
"24",2011,"Buffalo Raceway",7
"25",2011,"Finger Lakes Gaming & Racetrack",62
"26",2011,"Monticello Raceway & Mighty M Gaming",4
"27",2011,"Saratoga Gaming & Raceway",11
"28",2011,"Tioga Downs",1
"29",2011,"Vernon Downs",0
"30",2011,"Yonkers Raceway",3
"31",2012,"Aqueduct Racetrack (NYRA)",34
"32",2012,"Batavia Downs",1
"33",2012,"Belmont Park (NYRA)",45
"34",2012,"Buffalo Raceway",3
"35",2012,"Finger Lakes Gaming & Racetrack",44
"36",2012,"Monticello Raceway & Mighty M Gaming",2
"37",2012,"Saratoga Gaming & Raceway",18
"38",2012,"Tioga Downs",2
"39",2012,"Vernon Downs",3
"40",2012,"Yonkers Raceway",4
"41",2013,"Aqueduct Racetrack (NYRA)",23
"42",2013,"Batavia Downs",0
"43",2013,"Belmont Park (NYRA)",38
"44",2013,"Buffalo Raceway",2
"45",2013,"Finger Lakes Gaming & Racetrack",40
"46",2013,"Monticello Raceway & Mighty M Gaming",4
"47",2013,"Saratoga Gaming & Raceway",12
"48",2013,"Tioga Downs",1
"49",2013,"Vernon Downs",2
"50",2013,"Yonkers Raceway",1
"51",2014,"Aqueduct Racetrack (NYRA)",23
"52",2014,"Batavia Downs",1
"53",2014,"Belmont Park (NYRA)",42
"54",2014,"Buffalo Raceway",3
"55",2014,"Finger Lakes Gaming & Racetrack",35
"56",2014,"Monticello Raceway & Mighty M Gaming",4
"57",2014,"Saratoga Gaming & Raceway",14
"58",2014,"Tioga Downs",1
"59",2014,"Vernon Downs",1
"60",2014,"Yonkers Raceway",3
"61",2015,"Aqueduct Racetrack (NYRA)",21
"62",2015,"Batavia Downs",4
"63",2015,"Belmont Park (NYRA)",25
"64",2015,"Buffalo Raceway",1
"65",2015,"Finger Lakes Gaming & Racetrack",24
"66",2015,"Monticello Raceway & Mighty M Gaming",3
"67",2015,"Saratoga Gaming & Raceway",18
"68",2015,"Tioga Downs",2
"69",2015,"Vernon Downs",1
"70",2015,"Yonkers Raceway",3
"71",2016,"Aqueduct Racetrack (NYRA)",11
"72",2016,"Batavia Downs",2
"73",2016,"Belmont Park (NYRA)",39
"74",2016,"Buffalo Raceway",4
"75",2016,"Finger Lakes Gaming & Racetrack",28
"76",2016,"Monticello Raceway & Mighty M Gaming",0
"77",2016,"Saratoga Gaming & Raceway",21
"78",2016,"Tioga Downs",1
"79",2016,"Vernon Downs",1
"80",2016,"Yonkers Raceway",9
